ID,Year,Date,State,GeoRegion,ColonyName,Latitude,Longitude,SpeciesCode,Nests,Birds,Notes,BestForBPE?,CombinedMayJuneTotal?
4551,2021,"05/22/21 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"BRPE",7242,9807,,"Y","Y"
3348,2015,"05/16/15 00:00:00","LA","Atchafalaya Bay","Skimmer Island",29.3864,-91.3836,"WHIB",7113,6088,,"Y","N"
4077,2018,"05/20/18 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"SATE",6980,7110,,"Y","N"
4078,2018,"05/20/18 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"BRPE",6830,8682,,"Y","N"
2698,2013,"05/23/13 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"BRPE",6748,9817,"Does not include 46 Empty Nests","Y","N"
4079,2018,"05/20/18 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur South C",29.780414,-88.87419199999999,"ROYT",6715,7053,,"Y","N"
4552,2021,"06/15/21 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"BRPE",6614,7404,,"Y","Y"
2699,2013,"05/23/13 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"ROYT",6572,7529,,"Y","N"
33,2010,"06/14/10 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"ROYT",6545,7021,,"Y","N"
3349,2015,"05/16/15 00:00:00","LA","Terrebonne Bay","Felicity Island",29.2558,-90.44,"LAGU",6503,9398,,"Y","N"
1512,2011,"05/18/11 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"SATE",6500,6949,,"Y","N"
4080,2018,"05/20/18 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"BRPE",6488,7579,,"Y","Y"
2141,2012,"05/27/12 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"ROYT",6479,7001,,"Y","N"
4081,2018,"06/24/18 00:00:00","LA","Breton-Chandeleur Islands","Gosier Islands North",29.5517,-89.06444,"ROYT",6469,6655,,"Y","Y"
4553,2021,"05/17/21 00:00:00","TX","Corpus Christi-Aransas Bay","Shamrock Island",27.75883,-97.16936,"LAGU",6451,9032,,"Y","N"
1513,2011,"06/17/11 00:00:00","LA","Barataria Bay","Shell Island East A",29.2701,-89.6131,"SATE",6330,6565,,"Y","N"
2700,2013,"06/18/13 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North F",29.881806,-88.828345,"SATE",6258,6678,,"Y","N"
4554,2021,"06/20/21 00:00:00","TX","Corpus Christi-Aransas Bay","Black Skimmer Strip",28.11619,-96.93405,"ROYT",6023,6601,,"Y","N"
34,2010,"06/13/10 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"BRPE",5970,5866,"Does not include 743 Empty Nests","Y","N"
4555,2021,"05/18/21 00:00:00","TX","Galveston","North Deer Island",29.28519,-94.92462,"BRPE",5970,6489,,"Y","Y"
4082,2018,"06/24/18 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North F",29.881806,-88.828345,"SATE",5861,6056,,"Y","N"
4556,2021,"05/22/21 00:00:00","LA","Terrebonne Bay","Philo Brice Islands",29.18416,-90.34678,"BRPE",5714,6940,,"Y","N"
2142,2012,"06/19/12 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North G",29.865132,-88.832617,"ROYT",5703,6125,,"Y","N"
3350,2015,"05/16/15 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"BRPE",5688,8983,,"Y","Y"
4557,2021,"05/17/21 00:00:00","TX","Corpus Christi-Aransas Bay","Shamrock Island",27.75883,-97.16936,"ROYT",5641,6208,,"Y","Y"
4083,2018,"05/21/18 00:00:00","LA","Terrebonne Bay","Houma Navigation Canal Island",29.19515,-90.61565,"LAGU",5536,8748,,"Y","N"
2143,2012,"05/30/12 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"ROYT",5427,5512,,"Y","N"
2144,2012,"05/29/12 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"SATE",5405,5486,,"Y","N"
3351,2015,"05/18/15 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"WHIB",5375,5629,,"Y","N"
4558,2021,"06/16/21 00:00:00","LA","Breton-Chandeleur Islands","Chandeleur North A",29.969531,-88.82772199999999,"SATE",5365,5549,,"Y","N"
1514,2011,"05/18/11 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"BRPE",5343,6895,"Does not include 88 Empty Nests","Y","Y"
2145,2012,"05/29/12 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"LAGU",5335,7361,,"Y","N"
1515,2011,"05/20/11 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"ROYT",5318,5640,"Includes 1 Empty Nest","Y","Y"
3352,2015,"05/17/15 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"LAGU",5269,7461,,"Y","Y"
4559,2021,"06/20/21 00:00:00","TX","Corpus Christi-Aransas Bay","Black Skimmer Strip",28.11619,-96.93405,"SATE",5174,5346,,"Y","N"
3353,2015,"05/18/15 00:00:00","AL","Mobile Bay Interior","Gaillard Island",30.5063,-88.03619999999999,"ROYT",5171,5692,,"Y","Y"
35,2010,"05/17/10 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"BRPE",5156,7300,"Does not include 45 Empty Nests","Y","N"
4560,2021,"06/18/21 00:00:00","TX","Galveston","South Deer Island",29.27195,-94.9119,"LAGU",5081,6955,,"Y","N"
2701,2013,"06/19/13 00:00:00","LA","Lake Borgne","Half Moon Island",30.1376,-89.43519999999999,"LAGU",5076,7354,,"Y","N"
4561,2021,"06/18/21 00:00:00","LA","Sabine-Calcasieu","Rabbit Island",29.8494,-93.383,"LAGU",5031,6428,,"Y","N"
1516,2011,"05/17/11 00:00:00","LA","Terrebonne Bay","Raccoon Island",29.0505,-90.92659999999999,"BRPE",5022,8640,"Does not include 14 Empty Nests","Y","Y"
4562,2021,"05/22/21 00:00:00","LA","Barataria Bay","Queen Bess Island",29.3043,-89.9592,"LAGU",4930,8134,,"Y","N"
4563,2021,"05/17/21 00:00:00","TX","Matagorda Bay","Lavaca Bay Spoils E",28.59947,-96.56207999999999,"LAGU",4921,6885,,"Y","N"
3354,2015,"05/17/15 00:00:00","LA","Breton-Chandeleur Islands","Breton Island",29.4955,-89.1742,"BRPE",4790,5943,,"Y","Y"
