ColonyID,ActiveInventory,ColonyGroupBuffer,ColonyName,State,Longitude,Latitude,PrimaryHabitat,LandForm,GeoRegion,ExtrapArea,TerrestEcoRegion,MarineEcoRegion,FormerNames,OrigDotterID,NOTES August 2022
"S_PELI","No","Pelican Island","Pelican Island","LA",-90.3475,29.1437,,,"Terrebonne Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None","PJC15","Appears tidally inundated by 2015, submerged by 2018."
"CG_PIS","Yes","Pelican Island Spoil","Pelican Island Spoil","TX",-97.153735,27.818359,,,"Corpus Christi-Aransas Bay","Mid Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","NA",,"ColonyGroupBuffer centroid location coordinates."
"PIS_A","Yes","Pelican Island Spoil","Pelican Island Spoil A","TX",-97.16002,27.81882,,,"Corpus Christi-Aransas Bay","Mid Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","Pelican Island Spoil 614-184",,"Considered one colony, Pelican Island Spoil, in TCWB database."
"PIS_B","Yes","Pelican Island Spoil","Pelican Island Spoil B","TX",-97.14743,27.81882,,,"Corpus Christi-Aransas Bay","Mid Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","Pelican Island Spoil 614-184",,"Considered one colony, Pelican Island Spoil, in TCWB database."
"H_PEIS","No","Pelican Island Tampa Bay","Pelican Island Tampa Bay","FL",-82.8408,27.9144,,,"Tampa Bay","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP23","Island name reference usa.fishermap.org; surveyed 2010 only."
"H_PEKE","No","Pelican Key","Pelican Key","FL",-80.4555,25.0925,,,"Florida Keys","South Florida","Southern Coast and Islands","Florida Keys",,"Pelican Key","Surveyed 2010 only."
"PEPK","Yes","Pepperfish Key","Pepperfish Key","FL",-83.395151,29.501954,,,"Apalachee Bay","Coastal Marshes","Big Bend Coastal Marsh","Eastern Gulf Neritic","None",,
"H_PETE","No","Peterson Key","Peterson Key","FL",-80.7437,24.9129,,,"Everglades National Park","South Florida","Southern Coast and Islands","Florida Keys",,"Peterson Key","Surveyed 2010 only."
"PEBI","Yes","Petit Bois Island","Petit Bois Island","MS",-88.45605,30.19973,,,"Mississippi Sound Gulf Islands","Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","None",,"Also flew over/surveyed West Petit Bois"
"PBI","Yes","Philo Brice Islands","Philo Brice Islands","LA",-90.34678,29.18416,,,"Terrebonne Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None",,
"H_PIS_1","No","Pine Island Sound","Pine Island Sound 1","FL",-82.11239999999999,26.4979,,,"Charlotte Harbor","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP55","Surveyed 2010 only."
"H_PIS_2","No","Pine Island Sound","Pine Island Sound 2","FL",-82.10429999999999,26.4945,,,"Charlotte Harbor","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP54","Surveyed 2010 only."
"H_PIS_3","No","Pine Island Sound","Pine Island Sound 3","FL",-82.102,26.4939,,,"Charlotte Harbor","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP53","Surveyed 2010 only."
"H_POW","No","Pine Oak Woods","Pine Oak Woods","TX",-97.04130000000001,28.0397,,,"Corpus Christi-Aransas Bay","Mid Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","PJC46","PJC46","TCWB database - active 2021; excluded from analyses 2014."
"H_PPM","No","Piney Point Mangroves","Piney Point Mangroves","FL",-82.5462,27.6503,,,"Tampa Bay","South Florida","Southwestern Florida Flatwoods","Western Florida Estuarine Area",,"MWP15","Surveyed 2010 only."
"PITA","Yes","Pita Island","Pita Island","TX",-97.2876,27.60181,,,"Upper Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","614-300L Pita Island",,"Pita Island/Humbolt Channel - L, TCWB database."
"PPT","Yes","Walmart-Pitcher Point","Pitcher Point","MS",-89.17972,30.33326,,,"Mississippi Sound","Coastal Marshes","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","None",,"Colony location is at center of polygon provided by MSCWB."
"PAF","Yes","Point au Fer","Point au Fer","LA",-91.350965,29.327788,,,"Atchafalaya Bay","Coastal Marshes","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None",,
"H_PHI","Yes","Point Hunt Island","Point Hunt Island","LA",-93.8862,29.7471,,,"Sabine-Calcasieu","Coastal Marshes","Texas-Louisiana Coastal Marshes","Mississippi Estuarine Area","LouisianaWest_6","PAG5",
"PTGU","Yes","Port of Gulfport","Port of Gulfport","MS",-89.09195,30.35079,,,"Mississippi Sound","Coastal Marshes","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","None",,"Colony location is at center of polygon provided by MSCWB."
"QBI","Yes","Queen Bess Island","Queen Bess Island","LA",-89.9592,29.3043,,,"Barataria Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None","MWP2; MWP13",
"RAB","Yes","Rabbit Island","Rabbit Island","LA",-93.383,29.8494,,,"Sabine-Calcasieu","Coastal Marshes","Texas-Louisiana Coastal Marshes","Mississippi Estuarine Area","None","Rabbit Island",
"H_RABK","No","Rabbit Key","Rabbit Key","FL",-80.8297,24.9916,,,"Everglades National Park","South Florida","Southern Coast and Islands","Florida Bay",,"Rabbit Key","Surveyed 2010 only."
"RABI","Yes","Rabit Island Laguna Madre","Rabit Island Laguna Madre","TX",-97.41421,27.24658,,,"Upper Laguna Madre","Lower Texas Coast","Laguna Madre Barrier Islands and Coastal Marshes","Texas Estuarine Area","614-362B Rabit Island",,"Island name: Rabbit Island Spoil 1; colony name South Baffin Bay Island - A, TCWB database, but used Rabit Island from kmz provided."
"RAC","Yes","Raccoon Island","Raccoon Island","LA",-90.92659999999999,29.0505,,,"Terrebonne Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","None","Raccoon Island",
"S_RIW","No","Raccoon Island West","Raccoon Island West","LA",-90.94159999999999,29.0596,,,"Terrebonne Bay","Coastal Marshes-Barrier Islands","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","West Raccoon Island","SLF1","Submerged by 2019."
"H_RACH","No","Rachel Key","Rachel Key","FL",-81.0759,24.7265,,,"Florida Keys","South Florida","Southern Coast and Islands","Florida Keys",,"Rachel Key","Surveyed 2010 only."
"CG_RPB","Yes","Range Point Beach","Range Point Beach","FL",-87.079222,30.342538,,,"Pensacola","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","NA",,"ColonyGroupBuffer centroid location coordinates."
"RPB_A","Yes","Range Point Beach","Range Point Beach A","FL",-87.07577000000001,30.3433,,,"Pensacola","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","28a",,
"RPB_B","Yes","Range Point Beach","Range Point Beach B","FL",-87.08268,30.34179,,,"Pensacola","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","27a",,
"RFB","Yes","Redfish Bend","Redfish Bend","LA",-89.2276,29.9679,,,"Biloxi North","Coastal Marshes","Deltaic Coastal Marshes and Barrier Islands","Mississippi Estuarine Area","Biloxi_N_19","KKN27",
"ROI","Yes","Robertson Island","Robertson Island","FL",-87.32279,30.32973,,,"Pensacola","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","RILTC18-01 Robertson Island",,
"ROIS","Yes","Bay Saint John Islands","Robinson Island","AL",-87.55090199999999,30.285727,,,"Mobile Bay Seashore","Barrier Island-Seashore","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","None",,
"ROCI","Yes","Rock Island","Rock Island","FL",-83.82935999999999,29.97151,,,"Apalachee Bay","Coastal Marshes","Big Bend Coastal Marsh","Eastern Gulf Neritic","None",,
"CG_ROBA","Yes","Rollover Bay","Rollover Bay","TX",-94.504907,29.516926,,,"Galveston","Mid-Upper Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","NA",,"ColonyGroupBuffer centroid location coordinates."
"ROBA_A","Yes","Rollover Bay","Rollover Bay A","TX",-94.50239999999999,29.5178,,,"Galveston","Mid-Upper Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","TexasCoast_25, Rollover 600-300","PAG2","One of 8 spoil islands named Rollover Bay, TCWB database."
"ROBA_B","Yes","Rollover Bay","Rollover Bay B","TX",-94.50409999999999,29.5172,,,"Galveston","Mid-Upper Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","TexasCoast_4, Rollover 600-300","PAG1","One of 8 spoil islands named Rollover Bay, TCWB database."
"ROBA_C","Yes","Rollover Bay","Rollover Bay C","TX",-94.50743300000001,29.51574,,,"Galveston","Mid-Upper Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","Rollover 600-300",,"One of 8 spoil islands named Rollover Bay, TCWB database."
"H_ROBA_D","No","Rollover Bay","Rollover Bay D","TX",-94.5056,29.5215,,,"Galveston","Mid-Upper Texas Coast","Mid-Coast TX Barrier Islands and Coastal Marshes","Texas Estuarine Area","NA","PAG3",
"CG_RI","Yes","Round Islands","Round Islands","MS",-88.59412,30.30421,,,"Mississippi Sound","Coastal Marshes","Gulf Barrier Islands and Coastal Marshes","Mississippi Estuarine Area","NA",,"ColonyGroupBuffer centroid location coordinates."
"SABP","Yes, New","Sabine Pass","Sabine Pass","LA",-93.857238,29.737132,,,"Sabine-Calcasieu","Coastal Marshes","Texas-Louisiana Coastal Marshes","Mississippi Estuarine Area","None",,"New colony from LACWB 2022 colony surveys."
"CG_SA","Yes","Saint Andrews State Park","Saint Andrews State Park","FL",-85.73362400000001,30.130656,,,"Apalachicola West","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","NA",,"ColonyGroupBuffer centroid location coordinates."
"SABM","Yes","Saint Andrews State Park","Saint Andrews State Park Buttonwood Marsh","FL",-85.73546,30.13326,,,"Apalachicola West","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","None",,
"SAGL","Yes","Saint Andrews State Park","Saint Andrews State Park Gator Lake","FL",-85.73179,30.12805,,,"Apalachicola West","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","None",,
"CG_SGC","Yes","Saint George Causeway","Saint George Causeway","FL",-84.88297900000001,29.694945,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","NA",,"ColonyGroupBuffer centroid location coordinates."
"SGC_A","Yes","Saint George Causeway","Saint George Causeway A","FL",-84.88674,29.70113,,,"Apalachicola East","Coastal Marshes-Barrier Islands","Gulf Barrier Islands and Coastal Marshes","Eastern Gulf Neritic","CW18BRPE02",,"Colony coordinates provided by Florida Shorebird Alliance, therefore 500 m colony distance guideline did not apply."
