Year,Date,ColonyName,Dotter,Habitat,Oil,SpeciesCode,ActiveMayJune?,CombineMayJuneData?,Notes,AdditionalNotes
"2021","05/23/21 00:00:00","Curlew Island","PJC","sand, barrier island","N","ALL","Formed by June","N","very little breeding habitat available in May; no nesting evident yet",
"2021","05/18/21 00:00:00","Dickinson Bay Spoil Island","PJC","U-shaped levee w. shrubs and outer rock edge","N","ALL","Active Both Months","N","Chose May because many spp. with chicks already and no obvious differences in nesting #s by June; a few CATE in June, but they may have failed; movement of driftwood may indicate some low-level overwash occurred",
"2021","06/17/21 00:00:00","Gunn Island","PJC","spoil island, largely unvegetated","N","SATE","Active Both Months","N","many more birds in June",
"2021","06/17/21 00:00:00","Gunn Island","PJC","spoil island, largely unvegetated","N","GBTE","Active Both Months","N","many more birds in June",
"2021","06/17/21 00:00:00","Gunn Island","PJC","spoil island, largely unvegetated","N","BLSK","Active Both Months","N","many more birds in June",
"2021","06/17/21 00:00:00","Gunn Island","PJC","spoil island, largely unvegetated","N","CATE","Active Both Months","N","many more birds in June",
"2021","06/17/21 00:00:00","Gunn Island","PJC","spoil island, largely unvegetated","N","LAGU","Active Both Months","N","many more birds in June",
"2021","06/17/21 00:00:00","Gunn Island","PJC","spoil island, largely unvegetated","N","FOTE","Formed by June","N",,
"2021","06/16/21 00:00:00","Curlew Island","PJC","sand, barrier island","N","ALL","Formed by June","N","excellent coverage of all spp; SATE predominated",
"2021","06/17/21 00:00:00","Queen Bess Island","PJC","restored before 2020 breeding season","N","ROYT/SATE","Active Both Months","Y","south edge of Cell 3 mainly",
"2021","05/22/21 00:00:00","Philo Brice Islands","PJC","mangroves","N","ALL","Active Both Months","N","BRPE, LAGU, waders all active both months; possible increased WHIB in June; rainy day in June affecting image quality was a factor in choosing May; coverage complete",
"2021","05/22/21 00:00:00","Queen Bess Island","PJC","restored before 2020 breeding season","N","BRPE","Active Both Months","N","some chicks in May and no evidence of abandonment in June; used Cell 3 as loafing Area in June",
"2021","05/22/21 00:00:00","Queen Bess Island","PJC","restored before 2020 breeding season","N","GREG","Active Both Months","N","some chicks in May and no evidence of abandonment in June",
"2021","05/22/21 00:00:00","Queen Bess Island","PJC","restored before 2020 breeding season","N","LAGU","Active Both Months","N","mostly in Cell 2; no sign of abandonment in June",
"2021","05/22/21 00:00:00","Queen Bess Island","PJC","restored before 2020 breeding season","N","BLSK/GBTE","Abandoned by June","N","In potential breeding habitat in Cell 3, but no evidence of breeding and not seen in June",
"2021","06/18/21 00:00:00","Rollover Bay A","PJC","four, small, grassy marsh islands","N","LAGU","Active Both Months","N",,
"2021","06/18/21 00:00:00","Rollover Bay A","PJC","four, small, grassy marsh islands","N","TRHE","Formed by June","N","just on the main island",
"2021","06/18/21 00:00:00","Rollover Bay B","PJC","marshy grass island","N","TRHE","Active Both Months","N","complete coverage",
"2021","06/18/21 00:00:00","Rollover Bay C","PJC","marshy grass island w. shrubs","N","WADERS","Active Both Months","N","complete coverage",
"2021","05/18/21 00:00:00","Rollover Bay C","PJC","marshy grass island w. shrubs","N","AMOY","Abandoned by June","N","not seen in June",
"2021","06/20/21 00:00:00","West Nueces Bay 51W A","PJC",,"N",,"Not Inspected in May","N",,
"2021","06/20/21 00:00:00","West Nueces Bay 51W P","PJC",,"N",,"Not Inspected in May","N",,
"2021","06/20/21 00:00:00","West Nueces Bay 51W K","PJC",,"N",,"Active Both Months","N",,
"2021","05/18/21 00:00:00","Kanaloa Spoil","NY","Spoil Island","N","BRPE","Active Both Months","N","Colony in incubation stage, chicks present. Complete coverage.",
"2021","05/18/21 00:00:00","Kanaloa Spoil","NY","Spoil Island","N","LAGU","Active Both Months","N","Colony in incubation stage. Complete coverage.",
"2021","05/18/21 00:00:00","Kanaloa Spoil","NY","Spoil Island","N","CATE","Abandoned by June","N","Small colony in incubation stage, 1 chick present. Complete coverage.",
"2021","05/18/21 00:00:00","Kanaloa Spoil","NY","Spoil Island","N","RUTU","Active Both Months","N","Foraging.",
"2021","05/18/21 00:00:00","Kanaloa Spoil","NY","Spoil Island","N","AMOY","Abandoned by June","N","Small colony in incubation stage. Complete coverage.",
"2021","06/18/21 00:00:00","Kanaloa Spoil","NY","Spoil Island","N","TRHE","Active Both Months","N","Colony in incubation stage. Complete coverage.",
"2021","06/18/21 00:00:00","Kanaloa Spoil","NY","Spoil Island","N","WFIB","Formed by June","N","Colony in incubation stage. Complete coverage.",
"2021","05/25/21 00:00:00","Pepperfish Key","PJC","Shrubs on island","N","GREG","Active Both Months","N","Some large chicks present in May, and some birds on eggs in June; so, sort of a bimodal timing to nesting",
"2021","05/25/21 00:00:00","Pepperfish Key","PJC","Shrubs on island","N","GBHE","Active Both Months","N","large chicks in May and June; some other birds on eggs or setting up in May abandoned by June",
"2021","05/25/21 00:00:00","Pepperfish Key","PJC","Shrubs on island","N","SNEG","Abandoned by June","N","Sp. ID not 100% in May; no birds in June",
"2021","05/25/21 00:00:00","Pepperfish Key","PJC","Shrubs on island","N","TRHE","Abandoned by June","N",,
"2021","05/25/21 00:00:00","Pepperfish Key","PJC","Shrubs on island","N","DCCO",,"N","roosting only; none in June",
"2021","05/25/21 00:00:00","Pepperfish Key","PJC","Shrubs on island","N","AWPE",,"N","roosting only; none in June",
"2021","06/17/21 00:00:00","Biloxi North 26","PJC","Marsh island","N",,,"N","No birds in May or June; just a 50 m length of marsh remaining",
"2021","06/15/21 00:00:00","Petit Bois Island","PJC","barrier island","N",,,"N","no breeding birds detected either month; some roosting birds along shoreline at west end (70 mm only and not counted)",
"2021","06/16/21 00:00:00","Cat Island South","PJC","barrier island","N",,,"N","no breeding birds detected either month; large LAGU roost at south end in June; photoed at 70mm and not counted",
"2021","06/18/21 00:00:00","Aves Island","PJC","grassy, no woody shrubs; fractured, wet","N",,,"N","no birds at all in May and June",
"2021","06/17/21 00:00:00","Biloxi South 1","PJC","submerged","N",,,"N",,
"2021","05/25/21 00:00:00","Crooked Island South","RSW",,"N","CAEG",,"N","3 Roosting birds on shoreline; not there in June",
"2021","05/25/21 00:00:00","Crooked Island South","RSW",,"N","DCCO",,"N","3 DCCO Roosting birds on shoreline; not there in June.",
"2021","06/14/21 00:00:00","Crooked Island South","RSW",,"N","LAGU",,"N","roosting birds with BRPE on shoreline; non-breeding.",
"2021","06/15/21 00:00:00","Bon Secour 1","RSW",,"N","OSPR",,"N","Only Cam2 Photos in May, but not full coverage and zoom too far to dot; no birds observed. Osprey Nest found in June Cam 1 image, not visible from Cam 2 images.",
"2021","06/15/21 00:00:00","Bon Secour 2","RSW",,"N",,,"N","Only Cam 2 photos for both May and June - residential area with many people and houses on beach.",
"2021","06/15/21 00:00:00","Bon Secour 3","RSW",,"N","GBHE",,"N","Few photos in May for both Cam 1 and Cam 2. Used Cam 1 images to confirm GBHE sites in dotted June Cam 2 photos; 95% coverage. Big GBHE Chicks and tree top nests.",
"2021","05/24/21 00:00:00","Dauphin Island 1","RSW",,"N","BRPE",,"N","a few roosting birds; island mostly under water. Only Cam 2 photos.",
"2021","05/24/21 00:00:00","Dauphin Island 1","RSW",,"N","ROYT",,"N","a few roosting birds; island mostly under water. Only Cam 2 photos.",
"2021","05/24/21 00:00:00","Dauphin Island 2","RSW",,"N","ROYT",,"N","Both Cam 1 and Cam 2 photos taken. Roosting ROYT, LAGU, SATE, BRPE birds.",
"2021","05/24/21 00:00:00","Dauphin Island 2","RSW",,"N","LAGU",,"N","Both Cam 1 and Cam 2 photos taken. Roosting ROYT, LAGU, SATE, BRPE birds.",
"2021","05/24/21 00:00:00","Dauphin Island 2","RSW",,"N","SATE",,"N","Both Cam 1 and Cam 2 photos taken. Roosting ROYT, LAGU, SATE, BRPE birds.",
